Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-01-24,1.38,1.38,1.38,1.38
2020-01-27,1.38,1.38,1.38,1.38
2020-01-28,1.38,1.38,1.38,1.38
2020-01-29,1.38,1.38,1.38,1.38
2020-01-30,1.38,1.38,1.38,1.38
2020-01-31,1.38,1.38,1.38,1.38
2020-02-03,1.38,1.38,1.38,1.38
2020-02-04,1.38,1.38,1.38,1.38
2020-02-05,1.38,1.38,1.38,1.38
2020-02-06,1.38,1.38,1.38,1.38
2020-02-07,1.38,1.38,1.38,1.38
2020-02-10,1.38,1.38,1.38,1.38
2020-02-11,1.38,1.38,1.38,1.38
2020-02-12,1.38,1.38,1.38,1.38
2020-02-13,1.38,1.38,1.38,1.38
2020-02-14,1.38,1.38,1.38,1.38
2020-02-17,1.38,1.38,1.38,1.38
2020-02-18,1.38,1.38,1.38,1.38
2020-02-19,1.38,1.38,1.38,1.38
2020-02-20,1.38,1.38,1.38,1.38
2020-02-21,1.38,1.38,1.38,1.38
2020-02-24,1.38,1.38,1.38,1.38
2020-02-25,1.38,1.38,1.38,1.38
2020-02-26,1.38,1.38,1.38,1.38
2020-02-27,1.38,1.38,1.38,1.38
2020-02-28,1.38,1.38,1.38,1.38
2020-03-02,1.38,1.38,1.38,1.38
2020-03-03,1.38,1.38,1.38,1.38
2020-03-04,1.38,1.38,1.38,1.38
2020-03-05,1.38,1.38,1.38,1.38
2020-03-06,1.37,1.37,1.37,1.37
2020-03-09,1.38,1.38,1.38,1.38
2020-03-10,1.38,1.38,1.38,1.38
2020-03-11,1.38,1.38,1.38,1.38
2020-03-12,1.38,1.38,1.38,1.38
2020-03-13,1.39,1.39,1.39,1.39
2020-03-16,1.36,1.36,1.36,1.36
2020-03-17,1.3,1.3,1.3,1.3
2020-03-18,0.9,0.9,0.9,0.9
2020-03-19,0.87,0.87,0.87,0.87
2020-03-20,0.87,0.87,0.87,0.87
2020-03-23,0.84,0.84,0.84,0.84
2020-03-24,0.84,0.84,0.84,0.84
2020-03-25,0.84,0.84,0.84,0.84
2020-03-26,0.83,0.83,0.83,0.83
2020-03-27,0.83,0.83,0.83,0.83
2020-03-30,0.82,0.82,0.82,0.82
2020-03-31,0.82,0.82,0.82,0.82
2020-04-01,0.82,0.82,0.82,0.82
2020-04-02,0.82,0.82,0.82,0.82
2020-04-03,0.82,0.82,0.82,0.82
2020-04-06,0.83,0.83,0.83,0.83
2020-04-07,0.85,0.85,0.85,0.85
2020-04-08,0.85,0.85,0.85,0.85
2020-04-09,0.4,0.4,0.4,0.4
2020-04-10,0.39,0.39,0.39,0.39
2020-04-14,0.39,0.39,0.39,0.39
2020-04-15,0.39,0.39,0.39,0.39
2020-04-16,0.4,0.4,0.4,0.4
2020-04-17,0.4,0.4,0.4,0.4
2020-04-20,0.38,0.38,0.38,0.38
2020-04-21,0.38,0.38,0.38,0.38
2020-04-22,0.37,0.37,0.37,0.37
2020-04-23,0.37,0.37,0.37,0.37
2020-04-24,0.36,0.36,0.36,0.36
2020-04-27,0.36,0.36,0.36,0.36
2020-04-28,0.36,0.36,0.36,0.36
2020-04-29,0.36,0.36,0.36,0.36
2020-04-30,0.36,0.36,0.36,0.36
2020-05-04,0.36,0.36,0.36,0.36
2020-05-05,0.35,0.35,0.35,0.35
2020-05-06,0.34,0.34,0.34,0.34
2020-05-07,0.33,0.33,0.33,0.33
2020-05-08,0.33,0.33,0.33,0.33
2020-05-11,0.33,0.33,0.33,0.33
2020-05-12,0.32,0.32,0.32,0.32
2020-05-13,0.32,0.32,0.32,0.32
2020-05-14,0.32,0.32,0.32,0.32
2020-05-15,0.32,0.32,0.32,0.32
2020-05-18,0.32,0.32,0.32,0.32
2020-05-19,0.32,0.32,0.32,0.32
2020-05-20,0.32,0.32,0.32,0.32
2020-05-21,0.32,0.32,0.32,0.32
2020-05-22,0.32,0.32,0.32,0.32
2020-05-25,0.32,0.32,0.32,0.32
2020-05-26,0.32,0.32,0.32,0.32
2020-05-27,0.32,0.32,0.32,0.32
